created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2024-12-05T14:02:09+00:00,196,26.20,79.00,421,,,,
2024-12-05T14:02:36+00:00,197,26.20,79.00,412,,,,
2024-12-05T14:03:08+00:00,198,26.20,79.00,445,,,,
2024-12-05T14:03:40+00:00,199,26.20,79.00,432,,,,
2024-12-05T14:04:48+00:00,200,26.20,79.00,430,,,,
2024-12-05T14:05:27+00:00,201,26.70,79.00,433,,,,
2024-12-05T14:05:50+00:00,202,26.70,79.00,434,,,,
2024-12-05T14:06:38+00:00,203,26.20,79.00,430,,,,
2024-12-05T14:07:04+00:00,204,26.20,79.00,432,,,,
2024-12-05T14:07:32+00:00,205,26.20,79.00,438,,,,
2024-12-05T14:08:05+00:00,206,26.20,79.00,430,,,,
2024-12-05T14:08:31+00:00,207,26.20,79.00,434,,,,
2024-12-05T14:08:47+00:00,208,26.20,79.00,429,,,,
2024-12-05T14:09:14+00:00,209,26.20,79.00,432,,,,
2024-12-05T14:09:40+00:00,210,26.20,80.00,423,,,,
2024-12-05T14:10:08+00:00,211,26.20,80.00,578,,,,
2024-12-05T14:10:35+00:00,212,26.20,80.00,511,,,,
2024-12-05T14:11:01+00:00,213,26.20,80.00,497,,,,
2024-12-05T14:11:24+00:00,214,26.20,80.00,501,,,,
2024-12-05T14:11:50+00:00,215,26.20,80.00,566,,,,
2024-12-05T14:12:17+00:00,216,26.20,80.00,483,,,,
2024-12-05T14:12:45+00:00,217,26.20,80.00,559,,,,
2024-12-05T14:13:12+00:00,218,26.20,80.00,533,,,,
2024-12-05T14:13:39+00:00,219,26.20,80.00,642,,,,
2024-12-05T14:14:07+00:00,220,26.20,79.00,534,,,,
2024-12-05T14:14:34+00:00,221,26.20,79.00,523,,,,
2024-12-05T14:14:52+00:00,222,26.20,79.00,545,,,,
2024-12-05T14:15:19+00:00,223,26.20,79.00,619,,,,
2024-12-05T14:15:47+00:00,224,26.20,79.00,438,,,,
2024-12-05T14:16:14+00:00,225,26.20,79.00,423,,,,
2024-12-05T14:16:40+00:00,226,26.20,80.00,422,,,,
2024-12-05T14:17:07+00:00,227,26.20,80.00,450,,,,
2024-12-05T14:17:34+00:00,228,26.20,80.00,437,,,,
2024-12-05T14:18:01+00:00,229,26.20,80.00,486,,,,
2024-12-05T14:18:28+00:00,230,26.20,80.00,499,,,,
2024-12-05T14:18:54+00:00,231,26.20,80.00,463,,,,
2024-12-05T14:19:21+00:00,232,26.20,80.00,452,,,,
2024-12-05T14:19:48+00:00,233,26.20,80.00,449,,,,
2024-12-05T14:20:15+00:00,234,26.20,80.00,496,,,,
2024-12-05T14:20:37+00:00,235,26.20,80.00,471,,,,
2024-12-05T14:21:03+00:00,236,25.80,80.00,439,,,,
2024-12-05T14:21:30+00:00,237,26.20,81.00,490,,,,
2024-12-05T14:21:57+00:00,238,26.20,81.00,491,,,,
2024-12-05T14:22:57+00:00,239,26.20,81.00,496,,,,
2024-12-05T14:24:29+00:00,240,26.20,80.00,602,,,,
2024-12-05T14:24:45+00:00,241,26.20,80.00,621,,,,
2024-12-05T14:25:14+00:00,242,26.20,80.00,607,,,,
2024-12-05T14:41:36+00:00,243,26.20,80.00,420,,,,
2024-12-05T14:42:03+00:00,244,26.20,77.00,395,,,,
2024-12-05T14:42:29+00:00,245,26.20,77.00,402,,,,
2024-12-05T14:42:56+00:00,246,26.20,77.00,408,,,,
2024-12-05T14:43:19+00:00,247,26.20,77.00,407,,,,
2024-12-05T14:43:35+00:00,248,26.20,77.00,398,,,,
2024-12-05T14:44:04+00:00,249,26.20,77.00,400,,,,
2024-12-05T14:44:31+00:00,250,26.20,77.00,499,,,,
2025-01-01T13:51:06+00:00,251,22.00,63.00,2096,,,,
2025-01-01T13:51:25+00:00,252,26.00,41.00,2117,,,,
